,Species Name,Common Name,Type,Location(s),Estimated Population,Threats
0,Abies beshanzuensis,Baishan fir,Plant (Tree),"Baishanzu Mountain, Zhejiang, China",5 mature individuals,"Agriculture, fire"
1,Actinote zikani,-,Insect,"Near São Paulo, Atlantic forest, Brazil",Unknown,Habitat loss from human expansion
2,Aipysurus foliosquama,Leaf scaled sea-snake,Reptile,"Ashmore Reef and Hibernia Reef, Timor Sea",Unknown,Unknown—probably degradation of coral reef habitat
3,Amanipodagrion gilliesi,Amani flatwing,Insect,"Amani-Sigi Forest, Usambara Mountains, Tanzania",< 500 individuals,"Population pressure, water pollution"
4,Antisolabis seychellensis,-,Insect,"Morne Blanc, Mahé island, Seychelles",Unknown,"Invasive species, climate change"
5,Antilophia bokermanni,Araripe manakin,Bird,"Chapado do Araripe, South Ceará, Brazil",779 individuals,"Recreational facilities, water diversion"
6,Aphanius transgrediens,Aci Gö toothcarp,Fish,"South-eastern shore of former Lake Aci, Turkey",Few hundred pairs,"Competition, predation by Gambusia, road construction"
7,Aproteles bulmerae,Bulmer's fruit bat,Mammal,"Luplupwintern Cave, Western Province, Papua NG",150 individuals,"Hunting, cave disturbance"
8,Ardea insignis,White bellied heron,Bird,"Bhutan, North East India, Myanmar",70–400 individuals,Hydropower development
9,Ardeotis nigriceps,Great Indian bustard,Bird,"Rajasthan, Gujarat, Maharashtra, India",50–249 mature individuals,"Agricultural development, energy transmission lines"
10,Astrochelys yniphora,Ploughshare tortoise,Reptile,"Baly Bay region, northwestern Madagascar",440–770 individuals,Illegal collection for international pet trade
11,Atelopus balios,Rio Pescado stubfoot toad,Amphibian,"Azuay, Cañar, Guyas provinces, Ecuador",Unknown,"Chytridiomycosis, logging, agricultural expansion"
12,Aythya innotata,Madagascar pochard,Bird,"Volcanic lakes north of Bealanana, Madagascar",80 mature individuals,"Agriculture, hunting, fishing, introduced fish"
13,Azurina eupalama,Galapagos damsel fish,Fish,Unknown,Unknown,"Climate change, oceanographic changes related to the 1982/1983 El Nino"
14,Bahaba taipingensis,Giant yellow croaker,Fish,"Chinese coast from Yangtze River, China to Hong Kong",Unknown,Over-fishing due to value of swim-bladder in traditional medicine
15,Batagur baska,Common batagur,Reptile,"Bangladesh, Cambodia, India, Indonesia, Malaysia",Unknown,Illegal export to China
16,Bazzania bhutanica,-,Plant,"Budini and Lafeti Khola, Bhutan",2 sub-populations,"Forest clearance, overgrazing, development"
17,Beatragus hunteri,Hirola,Mammal,"South-east Kenya, possibly south-west Somalia","< 1,000 individuals","Habitat loss, competition with livestock, poaching"
18,Bombus franklini,Franklin's bumblebee,Insect,Oregon and California,Unknown,"Disease from commercial bees, habitat destruction and degradation"
19,Brachyteles hypoxanthus,Northern muriqui,Mammal,"Atlantic forest, south-eastern Brazil","< 1,000 individuals",Large-scale deforestation and logging
20,Bradypus pygmaeus,Pygmy three-toed sloth,Mammal,"Isla Escudo de Veraguas, Panama",< 500 individuals,"Illegal logging of mangrove forests for firewood and construction, hunting"
21,Callitriche pulchra,-,Plant,"Pool on Gavdos, Greece",Unknown,"Habitat exploitation by livestock, modification of the pool by locals"
22,Calumma tarzan,Tarzan's chameleon,Reptile,"Anosibe An'Ala region, eastern Madagascar",< 100 individuals,Agriculture
23,Cavia intermedia,Santa Catarina's guinea pig,Mammal,"Moleques do Sul Island, Santa Catarina, Brazil",40–60 individuals,"Habitat disturbance, possible hunting, small population"
24,Cercopithecus roloway,Roloway guenon,Mammal,Côte d'Ivoire,Unknown,"Hunting, habitat loss"
25,Coleura seychellensis,Seychelles sheath-tailed bat,Mammal,"Two small caves on Silhouette and Mahé, Seychelles",< 100 individuals,"Habitat degradation, predation by invasive species"
