,Scientifc Name,Common Name,Conservation Status
0,Loxodonta africana,African Elephant,
1,,African forest elephant,Critically Endangered
2,Loxodonta africana africana,African savanna elephant,Endangered
3,Lycaon pictus,African Wild Dog,Endangered
4,Thunnus alalunga,Albacore Tuna,Near Threatened
5,Scientific Name Inia geoffrensis,Amazon River Dolphin,
6,Panthera pardus orientalis,Amur Leopard,Critically Endangered
7,Vulpes lagopus,Arctic Fox,Least Concern
8,Canis lupus arctos,Arctic Wolf,Least Concern
9,Elephas maximus indicus,Asian Elephant,Endangered
10,Delphinapterus leucas,Beluga,Near Threatened
11,Thunnus obesus,Bigeye Tuna,Vulnerable
12,Diceros bicornis,Black Rhino,Critically Endangered
13,Ateles paniscus,Black Spider Monkey,Vulnerable
14,Mustela nigripes,Black-footed Ferret,Endangered
15,Balaenoptera musculus,Blue Whale,Endangered
16,Thunnus Thynnus,Bluefin Tuna,Endangered
17,Pan paniscus,Bonobo,Endangered
18,Elephas maximus borneensis,Bornean Elephant,Endangered
19,Pongo pygmaeus,Bornean Orangutan,Critically Endangered
20,Balaena mysticetus,Bowhead Whale,Least Concern
21,Ursus arctos,Brown Bear,Least Concern
22,Pan troglodytes,Chimpanzee,Endangered
23,Tursiops truncates,Common Bottlenose Dolphin,Least Concern
24,Panthera tigris tigris,Continental Tiger,
25,Gorilla gorilla diehli,Cross River Gorilla,Critically Endangered
26,,Dolphins and Porpoises,
27,Dugong dugon,Dugong,Vulnerable
28,Gorilla beringei graueri,Eastern Lowland Gorilla,Critically Endangered
29,,Elephant,
30,Balaenoptera physalus,Fin Whale,Endangered
31,Spheniscus mendiculus,Galápagos Penguin,Endangered
32,Platanista gangetica gangetica,Ganges River Dolphin,Endangered
33,Ailuropoda melanoleuca,Giant Panda,Vulnerable
34,,Giant Tortoise,Vulnerable
35,Gorilla gorilla and Gorilla beringei,Gorilla,
36,Eschrichtius robustus,Gray Whale,Least Concern
37,Carcharodon carcharias,Great White Shark,Vulnerable
38,Rhinoceros unicornis,Greater One-Horned Rhino,Vulnerable
39,Centrocercus urophasianus,Greater Sage-Grouse,Near Threatened
40,Chelonia mydas,Green Turtle,Endangered
41,Eretmochelys imbricata,Hawksbill Turtle,Critically Endangered
42,Cephalorhynchus hectori,Hector's Dolphin,Endangered
43,Hippopotamus amphibius,Hippopotamus,Vulnerable
44,Cheilinus undulatus,Humphead Wrasse,Endangered
45,Elephas maximus indicus,Indian Elephant,Endangered
46,Platanista minor,Indus River Dolphin,Endangered
47,Orcaella brevirostris,Irrawaddy Dolphin,Endangered
48,Panthera onca,Jaguar,Near Threatened
49,Rhinoceros sondaicus,Javan Rhino,Critically Endangered
50,Dermochelys coriacea,Leatherback Turtle,Vulnerable
51,Panthera Leo,Lion ,Vulnerable
52,Caretta caretta,Loggerhead Turtle,Vulnerable
53,Ara ararauna ,Macaw,Least Concern
54,Amblyrhynchus cristatus,Marine Iguana,Vulnerable
55,Danaus plexippus,Monarch Butterfly,Endangered
56,Gorilla beringei beringei,Mountain Gorilla,Endangered
57,Charadrius montanus,Mountain Plover,Near Threatened
58,Monodon monoceros,Narwhal,Least Concern
59,Eubalaena glacialis,North Atlantic Right Whale,Endangered
60,Lepidochelys olivacea,Olive Ridley Turtle,Vulnerable
61,"Pongo abelii, Pongo pygmaeus",Orangutan,Critically Endangered
62,,Pacific Salmon,
63,,Pangolin,
64,Spheniscidae,Penguin,
65,Bison bison bison,Plains Bison,Near Threatened
66,Dendrobates species,Poison Dart Frog,
67,Ursus maritimus ,Polar Bear,Vulnerable
68,Antilocarpa americana,Pronghorn,Least Concern
69,Ailurus fulgens,Red Panda,Endangered
70,,Rhino,
71,Pseudoryx nghetinhensis,Saola,Critically Endangered
72,Zalophus wollebaeki,Sea Lions,Endangered
73,Cheloniidae and Dermochelyidae families,Sea Turtle,Endangered
74,,Seals,
75,Balaenoptera borealis,Sei Whale,Endangered
76,,Shark,
77,Katsuwonus pelamis,Skipjack Tuna,Least Concern
78,,Sloth,
79,Panthera uncia,Snow Leopard,Vulnerable
80,Eudyptes chrysocome,Southern rockhopper penguin,Vulnerable
81,Elephas maximus maximus,Sri Lankan Elephant,Endangered
82,Elephas maximus sumatranus,Sumatran Elephant ,Critically Endangered
83,Pongo abelii,Sumatran Orangutan,Critically Endangered
84,Dicerorhinus sumatrensis,Sumatran Rhino,Critically Endangered
85,Panthera tigris sondaica,Sunda Tiger,Critically Endangered
86,Vulpes velox,Swift Fox,Least Concern
87,Panthera tigris,Tiger,Endangered
88,Dendrolagus sp.,Tree Kangaroo,Least Concern
89,Thunnus and Katsuwonus species,Tuna,
90,Phocoena sinus,Vaquita,Critically Endangered
91,Gorilla gorilla gorilla,Western Lowland Gorilla,Critically Endangered
92,"Balaenoptera, Balaena, Eschrichtius, and Eubalaen",Whale,Endangered
93,Rhincodon typus,Whale Shark,Endangered
94,Ceratotherium simum,White Rhino,Near Threatened
95,Neophocaena asiaeorientalis ssp. asiaeorientalis,Yangtze Finless Porpoise,Critically Endangered
96,Thunnus albacares,Yellowfin Tuna,Near Threatened
